Block	Strain	Cultivar	Percentage area
1	2	mgl	9.395
1	1	mseed	0.47
1	8	van	4.412
1	4	van	0.952
1	5	vict	1.251
1	8	mseed	0.799
1	9	van	0.312
1	9	round	0.653
1	1	vict	1.503
1	7	mgl	1.38
1	8	nap	2.498
1	6	nap	4.954
1	3	mgl	0.426
1	5	round	19.312
1	7	van	0.458
1	3	van	1.4
1	2	van	7.272
1	6	mseed	2.888
2	9	nap	0.299
2	1	vict	0.592
2	6	mgl	1.18
2	4	vict	0.668
2	8	mgl	0.241
2	8	round	0.493
2	7	mgl	0.822
2	4	round	0.939
2	8	van	1.332
2	7	van	1.08
2	1	nap	1.566
2	1	mgl	0.962
2	2	nap	10.778
2	9	mgl	0.957
2	9	van	1.924
2	5	mgl	2.835
2	8	nap	0.888
2	6	nap	0.347
1	5	mseed	1.058
1	2	round	12.99
1	1	mgl	0.474
1	3	mseed	0.812
1	1	nap	1.15
1	6	mgl	0.412
1	1	round	2.807
1	9	mgl	1.207
1	4	round	9.034
1	4	vict	2.283
1	4	nap	10.202
1	4	mgl	0.567
1	2	mseed	1.058
1	7	mseed	3.172
1	5	mgl	14.007
1	6	round	0.461
1	4	mseed	0.653
1	6	vict	1.791
2	3	mseed	0.897
2	3	mgl	0.905
2	7	nap	0.507
2	2	mgl	28.363
2	9	vict	0.755
2	5	mseed	3.97
2	8	mseed	1.572
2	2	round	42.37
2	4	mgl	2.542
2	4	van	4.05
2	3	nap	1.449
2	1	round	12.4
2	9	mseed	1.108
2	1	mseed	3.004
2	3	van	1.53
2	9	round	1.003
2	5	vict	15.122
2	5	van	25.097
1	5	van	15.851
1	3	nap	2.224
1	2	vict	1.544
1	3	vict	2.914
1	8	mgl	1.815
1	7	vict	16.964
1	8	round	1.389
1	9	vict	0.481
1	3	round	0.985
1	9	nap	1.387
1	6	van	0.29
1	5	nap	8.53
1	8	vict	5.086
1	1	van	17.588
1	2	nap	16.917
1	7	nap	3.048
1	9	mseed	2.333
1	7	round	2.596
2	4	mseed	0.749
2	6	vict	1.478
2	3	round	0.334
2	7	round	2.877
2	2	mseed	0.791
2	5	nap	27.589
2	6	mseed	1.696
2	8	vict	1.085
2	6	van	1.376
2	2	van	2.125
2	3	vict	4.589
2	6	round	0.768
2	2	vict	6.848
2	4	nap	1.341
2	7	mseed	0.622
2	7	vict	4.842
2	5	round	5.415
2	1	van	11.007
