Block	Strain	Cultivar	Percentage area
1	1	mgl	1.35337
2	1	mgl	3.64709
3	1	mgl	11.0836
4	1	mgl	3.22439
5	1	mgl	3.87207
6	1	mgl	5.19333
7	1	mgl	9.90159
8	1	mgl	21.4682
9	1	mgl	2.35314
10	1	mgl	2.72116
1	1	mseed	1.75177
2	1	mseed	4.45923
3	1	mseed	0.430855
4	1	mseed	2.22943
5	1	mseed	0.571691
6	1	mseed	0.673254
7	1	mseed	2.3718
8	1	mseed	1.00105
9	1	mseed	1.14528
10	1	mseed	0.736358
1	1	nap	13.0892
2	1	nap	1.46779
3	1	nap	2.62207
4	1	nap	10.5267
5	1	nap	14.3492
6	1	nap	11.9506
7	1	nap	30.862
8	1	nap	47.9605
9	1	nap	1.30818
10	1	nap	74.8971
1	1	round	5.09223
2	1	round	9.10001
3	1	round	8.84105
4	1	round	11.9134
5	1	round	5.81159
6	1	round	14.5293
7	1	round	12.1287
8	1	round	1.23337
9	1	round	8.49931
10	1	round	28.2731
1	1	van	13.4465
2	1	van	23.416
3	1	van	1.29032
4	1	van	9.13747
5	1	van	3.24678
6	1	van	56.9796
7	1	van	51.5085
8	1	van	25.6659
9	1	van	29.3081
10	1	van	43.7197
1	1	vict	4.49082
2	1	vict	1.93189
3	1	vict	5.69923
4	1	vict	1.24167
5	1	vict	0.746118
6	1	vict	1.20263
7	1	vict	2.60822
8	1	vict	0.433782
9	1	vict	4.01027
10	1	vict	26.8153
1	2	mgl	20.4388
2	2	mgl	45.4784
3	2	mgl	45.546
4	2	mgl	3.02071
5	2	mgl	19.8669
6	2	mgl	22.5434
7	2	mgl	13.7847
8	2	mgl	4.47383
9	2	mgl	1.94212
10	2	mgl	13.7798
1	2	mseed	1.29143
2	2	mseed	0.866836
3	2	mseed	31.343
4	2	mseed	0.283961
5	2	mseed	1.755
6	2	mseed	1.72361
7	2	mseed	2.30095
8	2	mseed	1.7735
9	2	mseed	3.46933
10	2	mseed	1.16695
1	2	nap	30.0326
2	2	nap	21.9577
3	2	nap	3.45059
4	2	nap	30.4553
5	2	nap	6.38106
6	2	nap	33.1442
7	2	nap	22.428
8	2	nap	11.3703
9	2	nap	18.4579
10	2	nap	9.261
1	2	round	26.7756
2	2	round	67.913
3	2	round	56.2149
4	2	round	21.3024
5	2	round	20.235
6	2	round	67.4393
7	2	round	31.47
8	2	round	12.8156
9	2	round	34.8811
10	2	round	54.1334
1	2	van	7.3849
2	2	van	5.87918
3	2	van	3.37275
4	2	van	15.3071
5	2	van	4.68455
6	2	van	22.995
7	2	van	14.294
8	2	van	6.88588
9	2	van	18.6574
10	2	van	3.53689
1	2	vict	4.32558
2	2	vict	6.31733
3	2	vict	0.999465
4	2	vict	7.10321
5	2	vict	13.4354
6	2	vict	0.915705
7	2	vict	2.66918
8	2	vict	30.8945
9	2	vict	9.97096
10	2	vict	33.771
1	3	mgl	1.86845
2	3	mgl	1.56956
3	3	mgl	3.03964
4	3	mgl	1.1539
5	3	mgl	1.2662
6	3	mgl	0.243397
7	3	mgl	1.70529
8	3	mgl	0.341213
9	3	mgl	4.50115
10	3	mgl	0.0782179
1	3	mseed	0.915741
2	3	mseed	1.43834
3	3	mseed	36.57
4	3	mseed	1.20493
5	3	mseed	38.0695
6	3	mseed	0.79245
7	3	mseed	0.0871976
8	3	mseed	3.14661
9	3	mseed	1.62132
10	3	mseed	2.74759
1	3	nap	1.01812
2	3	nap	3.02665
3	3	nap	3.2772
4	3	nap	3.63002
5	3	nap	1.544
6	3	nap	0.682976
7	3	nap	2.12472
8	3	nap	2.29944
9	3	nap	2.12639
10	3	nap	11.4286
1	3	round	3.05141
2	3	round	1.05437
4	3	round	0.814611
5	3	round	2.44924
6	3	round	1.56443
7	3	round	1.39148
8	3	round	3.18336
9	3	round	1.40929
10	3	round	1.46618
1	3	van	4.30348
2	3	van	1.12047
3	3	van	7.34638
4	3	van	3.23123
5	3	van	1.12978
6	3	van	4.23876
7	3	van	3.35347
8	3	van	5.6346
9	3	van	0.593856
10	3	van	3.6969
1	3	vict	2.85919
2	3	vict	7.25249
3	3	vict	2.42858
4	3	vict	2.14462
5	3	vict	6.95568
6	3	vict	24.1243
7	3	vict	39.4963
8	3	vict	4.97835
9	3	vict	6.06194
10	3	vict	64.7303
1	4	mgl	0.650526
2	4	mgl	3.29202
3	4	mgl	34.957
4	4	mgl	8.56668
5	4	mgl	2.0686
6	4	mgl	0.524778
7	4	mgl	0.671471
8	4	mgl	0.799725
9	4	mgl	0.841258
10	4	mgl	0.787325
1	4	mseed	1.626
2	4	mseed	2.12316
3	4	mseed	1.73067
4	4	mseed	2.25333
5	4	mseed	1.26205
6	4	mseed	1.20598
7	4	mseed	1.40181
8	4	mseed	0.246013
9	4	mseed	4.70386
10	4	mseed	9.7002
1	4	nap	10.074
2	4	nap	1.79792
3	4	nap	1.98751
4	4	nap	13.8564
5	4	nap	1.45334
6	4	nap	2.8654
7	4	nap	1.52964
8	4	nap	1.39822
9	4	nap	2.78293
10	4	nap	1.5867
1	4	round	13.1745
2	4	round	1.81695
3	4	round	0.412256
4	4	round	0.377532
5	4	round	0.740088
6	4	round	2.12122
7	4	round	0.615523
8	4	round	1.04116
9	4	round	1.71884
10	4	round	8.55595
1	4	van	2.12521
2	4	van	4.00944
3	4	van	1.03496
4	4	van	6.18382
5	4	van	13.5044
6	4	van	11.2641
7	4	van	5.73255
8	4	van	2.52674
9	4	van	1.65167
10	4	van	6.10766
1	4	vict	2.0387
2	4	vict	1.92308
3	4	vict	2.26047
4	4	vict	1.20608
5	4	vict	4.02
6	4	vict	0.939641
7	4	vict	12.6736
8	4	vict	68.9952
9	4	vict	37.2119
10	4	vict	22.2042
1	5	mgl	19.1134
2	5	mgl	6.72939
3	5	mgl	27.0585
4	5	mgl	21.3297
5	5	mgl	6.80833
6	5	mgl	33.0715
7	5	mgl	31.3829
8	5	mgl	2.8545
9	5	mgl	1.69207
10	5	mgl	7.54904
1	5	mseed	2.18344
2	5	mseed	1.55967
3	5	mseed	1.74404
4	5	mseed	4.58129
5	5	mseed	1.8347
6	5	mseed	8.00583
7	5	mseed	38.8872
8	5	mseed	1.85468
9	5	mseed	0.912966
10	5	mseed	21.5119
1	5	nap	14.8961
2	5	nap	48.8401
3	5	nap	29.2235
4	5	nap	45.4816
5	5	nap	41.1376
6	5	nap	46.4324
7	5	nap	10.6908
8	5	nap	55.0609
9	5	nap	22.3497
10	5	nap	22.7793
1	5	round	31.6058
2	5	round	15.659
3	5	round	0.00174359
4	5	round	37.629
5	5	round	6.17571
6	5	round	12.6008
7	5	round	44.1551
8	5	round	40.7068
9	5	round	24.5979
10	5	round	82.9342
1	5	van	21.4645
2	5	van	23.209
3	5	van	2.14906
4	5	van	13.9998
5	5	van	70.235
6	5	van	12.2756
7	5	van	52.8323
8	5	van	4.39042
9	5	van	69.3722
10	5	van	62.2084
1	5	vict	2.51821
2	5	vict	25.9667
3	5	vict	4.67805
4	5	vict	6.23835
5	5	vict	49.9336
6	5	vict	1.92973
7	5	vict	50.0596
8	5	vict	46.4454
9	5	vict	71.7274
10	5	vict	91.2658
1	8	mgl	1.09182
2	8	mgl	0.195687
3	8	mgl	1.85025
4	8	mgl	2.45029
5	8	mgl	2.47925
6	8	mgl	1.8011
7	8	mgl	2.86211
8	8	mgl	0.307214
9	8	mgl	1.73407
10	8	mgl	0.774662
1	8	mseed	1.61438
2	8	mseed	1.58414
3	8	mseed	5.33978
4	8	mseed	2.50626
5	8	mseed	1.17711
6	8	mseed	19.2422
7	8	mseed	0.00314322
8	8	mseed	1.18486
9	8	mseed	2.2359
10	8	mseed	1.57486
1	8	nap	2.23943
2	8	nap	0.781374
3	8	nap	1.47265
4	8	nap	0.521811
5	8	nap	1.3376
6	8	nap	0.997617
7	8	nap	1.09212
8	8	nap	1.60927
9	8	nap	2.20977
10	8	nap	39.3271
1	8	round	1.5492
2	8	round	1.91235
3	8	round	0.412459
4	8	round	1.0656
5	8	round	2.72344
6	8	round	0.93327
7	8	round	0.0573706
8	8	round	1.67695
9	8	round	1.04072
10	8	round	0.206022
1	8	van	9.64345
2	8	van	2.10044
3	8	van	0.807394
4	8	van	1.3624
5	8	van	1.75226
6	8	van	1.26438
7	8	van	2.40335
8	8	van	0.392201
9	8	van	0.0808719
10	8	van	1.52067
1	8	vict	2.15306
2	8	vict	3.87131
3	8	vict	10.0012
4	8	vict	2.43134
5	8	vict	3.68618
6	8	vict	2.62534
7	8	vict	6.68758
8	8	vict	16.2272
9	8	vict	2.26728
10	8	vict	0.89828
1	9	mgl	1.21961
2	9	mgl	2.10867
3	9	mgl	2.3163
4	9	mgl	2.72094
5	9	mgl	0.339022
6	9	mgl	0.454122
7	9	mgl	0.0355713
8	9	mgl	0.0932992
9	9	mgl	2.90044
10	9	mgl	1.08632
1	9	mseed	5.84877
2	9	mseed	1.95993
3	9	mseed	1.27108
4	9	mseed	2.80171
5	9	mseed	1.68349
6	9	mseed	1.61106
7	9	mseed	1.18086
8	9	mseed	3.12764
9	9	mseed	0
10	9	mseed	1.3512
1	9	nap	0.783284
2	9	nap	0.167144
3	9	nap	3.16846
4	9	nap	4.1866
5	9	nap	2.11066
6	9	nap	0.868726
7	9	nap	0.343876
8	9	nap	1.73953
9	9	nap	1.44031
10	9	nap	0.0329286
1	9	round	0.8039
2	9	round	0.740063
3	9	round	4.72602
4	9	round	0.731026
5	9	round	3.33095
6	9	round	2.77947
7	9	round	0.892969
8	9	round	0.266436
9	9	round	2.44252
10	9	round	8.57428
1	9	van	0.914944
2	9	van	3.28831
3	9	van	2.44078
4	9	van	0.923345
5	9	van	2.51771
